ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
181	ENSG00000163913.11_2	IFT122	chr3	+	NA,NA,0.0,0.0,0.0,NA,NA,NA,0.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA	1	MXE
185	ENSG00000183018.8_2	SPNS2	chr17	+	0.428,0.424,1.0,NA,0.426,NA,0.0,1.0,1.0,NA,0.0,NA,0.419,1.0,0.213,NA,NA,NA,0.158,1.0,NA,NA,0.658,1.0	0.543,0.0,NA,0.706,1.0,NA,NA,NA,0.0,0.763,NA,NA,NA,NA,NA,NA,0.294,NA,NA,NA	1	MXE
186	ENSG00000198586.13_1	TLK1	chr2	-	0.634,1.0,1.0,0.474,0.201,1.0,NA,0.016,0.783,0.917,1.0,0.0,0.599,0.956,1.0,1.0,0.834,1.0,1.0,0.128,1.0,0.256,0.46,0.387	0.488,1.0,0.803,0.668,1.0,0.082,0.012,0.0,0.506,0.812,0.064,NA,0.954,0.781,1.0,0.718,1.0,NA,1.0,NA	1	MXE
187	ENSG00000198586.13_1	TLK1	chr2	-	NA,0.92,0.0,0.061,1.0,1.0,NA,0.394,0.272,NA,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,0.0,0.31,1.0	NA,0.386,0.0,NA,NA,0.0,0.0,0.0,0.308,0.09,0.148,NA,0.029,NA,NA,NA,NA,NA,0.0,NA	1	MXE
188	ENSG00000139597.17_2	N4BP2L1	chr13	-	1.0,NA,NA,NA,0.0,1.0,NA,1.0,1.0,NA,NA,NA,1.0,0.178,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.72	0.0,NA,0.0,1.0,0.0,NA,NA,NA,NA,0.458,0.0,NA,1.0,NA,0.0,NA,0.0,NA,0.0,NA	1	MXE
189	ENSG00000139597.17_2	N4BP2L1	chr13	-	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.0,NA,0.0,1.0,NA,NA,NA,NA,NA,1.0,0.0,NA,1.0,NA,0.0,NA,0.0,NA,NA,NA	1	MXE
198	ENSG00000130363.11_1	RSPH3	chr6	-	NA,NA,NA,1.0,0.0,NA,NA,1.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.0,1.0,NA	0.826,1.0,1.0,0.985,NA,NA,NA,NA,0.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,1.0	1	MXE
199	ENSG00000130363.11_1	RSPH3	chr6	-	NA,1.0,NA,0.0,NA,NA,NA,1.0,0.0,1.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.506,1.0	0.0,1.0,0.067,1.0,1.0,NA,NA,1.0,1.0,NA,NA,NA,0.889,1.0,NA,1.0,1.0,NA,0.264,NA	1	MXE
200	ENSG00000188690.12_2	UROS	chr10	-	0.537,NA,1.0,0.977,0.044,0.644,0.0,0.638,1.0,1.0,NA,NA,0.587,0.019,0.947,NA,NA,NA,0.907,0.579,0.0,NA,NA,0.721	0.956,1.0,0.068,0.503,1.0,1.0,1.0,NA,NA,1.0,0.055,NA,1.0,1.0,0.0,1.0,NA,NA,NA,NA	1	MXE
207	ENSG00000196482.16_2	ESRRG	chr1	-	1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,0.0,NA,NA,NA,1.0	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.879,NA,NA,NA,NA,NA,NA,NA	1	MXE
209	ENSG00000196482.16_2	ESRRG	chr1	-	NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,0.0	NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	1	MXE
210	ENSG00000173681.16_2	CXorf23	chrX	-	NA,NA,NA,NA,1.0,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0	1.0,NA,NA,1.0,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
213	ENSG00000118482.11_1	PHF3	chr6	+	0.0,NA,0.952,0.0,0.0,NA,NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.531,0.0,NA,0.0,NA,0.0,0.0,NA,0.517	0.9,0.0,NA,NA,1.0,0.5,NA,0.0,NA,0.0,0.087,NA,0.955,0.006,NA,0.036,0.0,NA,0.85,NA	1	MXE
214	ENSG00000118482.11_1	PHF3	chr6	+	0.0,1.0,0.403,0.0,0.061,1.0,NA,1.0,NA,0.0,NA,NA,0.0,NA,1.0,0.0,0.0,NA,1.0,0.0,1.0,0.881,0.235,NA	0.613,0.971,0.0,0.808,0.0,0.0,0.0,NA,1.0,1.0,0.948,NA,NA,0.875,NA,1.0,0.957,NA,1.0,NA	1	MXE
215	ENSG00000118482.11_1	PHF3	chr6	+	0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA,NA,0.0,0.0,NA	0.0,0.542,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
216	ENSG00000118482.11_1	PHF3	chr6	+	0.924,NA,1.0,0.5,0.847,NA,NA,1.0,0.0,0.714,NA,1.0,0.914,1.0,0.439,1.0,1.0,NA,0.337,NA,1.0,0.367,0.0,1.0	0.088,0.577,NA,0.0,0.0,0.004,0.0,1.0,0.0,0.108,0.337,NA,1.0,1.0,NA,1.0,0.109,NA,1.0,NA	1	MXE
218	ENSG00000141084.10_2	RANBP10	chr16	-	NA,NA,0.0,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA	0.0,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
219	ENSG00000141084.10_2	RANBP10	chr16	-	0.226,NA,NA,1.0,1.0,NA,NA,1.0,NA,0.0,NA,NA,0.144,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA	NA,0.0,1.0,1.0,0.134,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
220	ENSG00000115970.18_2	THADA	chr2	-	NA,NA,NA,1.0,1.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA	0.062,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
221	ENSG00000163964.13_2	PIGX	chr3	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
222	ENSG00000102984.14_2	ZNF821	chr16	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,0.0,NA,0.546,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
223	ENSG00000102984.14_2	ZNF821	chr16	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,0.0,NA,0.563,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
226	ENSG00000203705.10_2	TATDN3	chr1	+	0.303,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	1.0,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,0.0,NA,0.839,NA,NA,NA,NA,NA,NA,NA	1	MXE
227	ENSG00000101901.11_2	ALG13	chrX	+	NA,NA,1.0,0.195,0.0,0.46,NA,NA,0.0,1.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,1.0,0.0,NA	0.0,0.0,NA,NA,0.0,NA,NA,0.0,0.0,0.0,1.0,NA,0.207,0.0,NA,0.0,0.982,NA,NA,NA	1	MXE
228	ENSG00000101901.11_2	ALG13	chrX	+	1.0,NA,1.0,0.8,1.0,NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,1.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA	1	MXE
231	ENSG00000141644.17_1	MBD1	chr18	-	NA,NA,NA,0.0,1.0,NA,NA,0.0,NA,1.0,NA,NA,NA,0.199,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,0.0,NA	NA,0.661,0.797,0.0,NA,NA,NA,0.684,0.0,0.831,0.043,NA,0.0,0.0,NA,0.0,0.113,NA,0.0,NA	1	MXE
232	ENSG00000059691.11_2	GATB	chr4	-	NA,NA,1.0,1.0,1.0,NA,NA,1.0,0.0,NA,1.0,0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,1.0,NA	1.0,0.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA,NA,1.0,NA	1	MXE
233	ENSG00000136643.11_1	RPS6KC1	chr1	+	NA,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.315,NA,NA,NA,0.357,NA,NA,NA,0.0,0.0,NA,NA,0.0,0.703,NA	0.0,0.0,0.0,NA,0.0,NA,NA,NA,0.503,0.194,0.0,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA	1	MXE
234	ENSG00000136643.11_1	RPS6KC1	chr1	+	NA,NA,NA,1.0,NA,0.0,NA,1.0,0.0,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,NA	0.83,NA,NA,NA,1.0,NA,NA,NA,0.0,0.213,1.0,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
235	ENSG00000162148.10_2	PPP1R32	chr11	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
236	ENSG00000189212.12_2	DPY19L2P1	chr7	-	1.0,NA,1.0,NA,1.0,NA,NA,1.0,0.459,NA,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0	0.0,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.755,1.0,NA,1.0,1.0,NA,NA,NA	1	MXE
237	ENSG00000189212.12_2	DPY19L2P1	chr7	-	0.69,NA,0.0,0.0,0.0,NA,NA,NA,0.5,0.927,0.946,NA,0.546,1.0,0.0,NA,NA,NA,0.0,0.983,1.0,0.0,0.13,0.0	1.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.355,0.0,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA	1	MXE
239	ENSG00000171735.18_2	CAMTA1	chr1	+	1.0,0.486,1.0,0.678,1.0,1.0,NA,0.127,0.448,0.831,NA,0.0,1.0,1.0,0.81,NA,1.0,1.0,0.81,1.0,1.0,NA,0.497,0.0	0.464,0.332,0.0,1.0,0.711,1.0,1.0,1.0,NA,0.699,0.32,NA,0.437,0.464,NA,0.548,1.0,NA,NA,NA	1	MXE
241	ENSG00000256349.1_2	CTD-3074O7.11	chr11	+	NA,NA,0.0,0.275,0.0,0.0,NA,0.11,NA,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,0.204,NA,0.0,1.0,NA,0.0,0.0	0.0,0.383,0.0,0.036,0.0,NA,NA,NA,0.0,0.0,0.0,NA,0.574,0.0,NA,0.0,0.0,NA,NA,NA	1	MXE
242	ENSG00000256349.1_2	CTD-3074O7.11	chr11	+	NA,0.543,NA,1.0,0.549,0.0,NA,NA,1.0,1.0,0.12,NA,NA,1.0,1.0,1.0,NA,NA,NA,1.0,0.0,NA,0.296,0.0	0.0,0.273,0.0,1.0,0.0,NA,NA,NA,0.395,NA,0.395,NA,0.0,1.0,NA,0.766,NA,NA,NA,NA	1	MXE
243	ENSG00000114544.16_2	SLC41A3	chr3	-	1.0,1.0,NA,0.344,1.0,NA,NA,0.0,0.269,0.936,1.0,NA,1.0,0.0,0.0,NA,NA,0.0,0.0,NA,1.0,0.0,0.751,1.0	1.0,0.887,0.0,0.534,NA,NA,NA,NA,NA,0.683,0.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	1	MXE
245	ENSG00000138777.19_2	PPA2	chr4	-	0.0,NA,0.0,1.0,NA,1.0,NA,NA,0.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,0.0	0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
246	ENSG00000054282.15_1	SDCCAG8	chr1	+	0.0,NA,0.0,0.0,NA,NA,NA,0.194,0.955,1.0,0.0,NA,0.0,0.614,NA,0.0,0.842,NA,NA,NA,NA,NA,0.0,NA	0.0,NA,NA,0.852,0.0,0.0,0.0,0.0,NA,0.501,0.222,NA,NA,0.0,NA,0.0,0.0,0.0,0.691,NA	1	MXE
253	ENSG00000157823.16_2	AP3S2	chr15	-	1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,NA,1.0,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0	NA,NA,NA,1.0,1.0,NA,NA,0.978,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,0.865,NA,1.0,NA	1	MXE
255	ENSG00000132321.16_2	IQCA1	chr2	-	NA,NA,0.535,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,0.952,0.664,NA,1.0,NA,0.0,1.0,1.0,1.0	1.0,1.0,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,0.155,NA,0.094,1.0,NA,0.696,NA	1	MXE
258	ENSG00000121741.16_1	ZMYM2	chr13	+	0.009,0.0,1.0,0.869,1.0,0.956,1.0,0.737,0.707,0.564,0.397,1.0,0.0,0.121,0.846,1.0,0.559,0.843,0.782,1.0,0.264,0.0,0.403,0.644	0.647,0.256,0.61,0.878,0.816,NA,1.0,0.0,0.949,0.625,0.92,NA,1.0,0.478,1.0,0.272,1.0,1.0,0.249,0.0	1	MXE
259	ENSG00000143401.14_2	ANP32E	chr1	-	0.0,NA,NA,1.0,0.754,NA,NA,NA,0.0,NA,1.0,NA,0.02,NA,0.0,NA,NA,1.0,0.0,NA,NA,1.0,0.524,1.0	1.0,0.0,0.0,0.498,NA,0.0,0.0,NA,0.0,0.0,NA,NA,0.095,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
260	ENSG00000148634.15_2	HERC4	chr10	-	0.0,NA,0.0,0.0,0.835,NA,NA,0.0,1.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,NA,NA,0.0,NA	NA,0.534,0.0,0.0,0.0,NA,NA,0.398,1.0,0.0,NA,NA,NA,0.617,NA,0.493,1.0,NA,NA,NA	1	MXE
262	ENSG00000116106.11_2	EPHA4	chr2	-	0.64,0.0,1.0,0.266,0.445,0.261,0.0,0.194,0.174,0.0,0.061,NA,0.613,0.639,0.411,0.957,1.0,NA,0.452,0.023,0.0,0.888,0.487,0.585	0.609,0.541,0.198,0.362,0.0,1.0,1.0,NA,0.128,0.636,0.785,NA,0.623,1.0,NA,1.0,0.788,NA,0.511,NA	1	MXE
264	ENSG00000112078.13_1	KCTD20	chr6	+	NA,1.0,NA,NA,NA,1.0,NA,1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	1.0,NA,1.0,NA,1.0,NA,NA,1.0,NA,1.0,NA,1.0,NA,1.0,NA,1.0,1.0,NA,1.0,NA	1	MXE
266	ENSG00000188283.11_1	ZNF383	chr19	+	NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
267	ENSG00000062716.11_2	VMP1	chr17	+	0.792,0.148,0.891,0.906,0.36,1.0,NA,0.051,1.0,1.0,1.0,1.0,0.799,0.771,0.0,1.0,NA,NA,0.0,0.0,0.941,NA,0.36,0.144	0.36,0.977,1.0,0.283,0.0,NA,NA,0.0,0.75,0.339,0.828,NA,0.185,NA,1.0,NA,1.0,NA,0.0,NA	1	MXE
268	ENSG00000118454.12_1	ANKRD13C	chr1	-	NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.558,1.0,NA,NA,0.0,0.0,1.0,0.0,NA,0.0,NA,0.891,0.0,0.0,0.0	0.464,NA,NA,0.0,0.668,NA,NA,NA,0.0,0.649,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA	1	MXE
269	ENSG00000115761.15_1	NOL10	chr2	-	NA,NA,NA,0.852,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.581,NA,NA,NA,0.391,NA,1.0,NA,1.0,1.0	1.0,0.0,0.0,0.846,1.0,NA,NA,NA,NA,NA,NA,NA,0.077,NA,NA,NA,0.654,NA,NA,NA	1	MXE
270	ENSG00000107669.17_2	ATE1	chr10	-	1.0,1.0,1.0,0.412,0.0,0.0,NA,0.0,0.747,NA,1.0,NA,1.0,0.329,0.506,0.0,NA,0.0,0.526,NA,0.0,0.0,0.444,0.338	1.0,1.0,0.0,0.964,1.0,0.0,0.0,NA,0.0,1.0,0.0,NA,0.421,1.0,NA,1.0,0.0,NA,0.0,NA	1	MXE
271	ENSG00000107669.17_2	ATE1	chr10	-	0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,0.0,1.0,0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,0.062	0.0,NA,NA,0.443,NA,NA,NA,0.0,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	1	MXE
276	ENSG00000148985.19_2	PGAP2	chr11	+	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0	0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
279	ENSG00000119522.16_2	DENND1A	chr9	-	NA,0.609,1.0,1.0,1.0,NA,0.087,NA,1.0,1.0,1.0,NA,1.0,1.0,0.981,NA,1.0,0.438,1.0,1.0,1.0,0.0,1.0,1.0	0.903,0.101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,0.903,NA,NA,NA	1	MXE
280	ENSG00000119522.16_2	DENND1A	chr9	-	0.0,NA,0.0,1.0,0.046,NA,NA,0.014,NA,NA,NA,NA,0.0,NA,0.0,0.0,NA,NA,0.0,1.0,NA,NA,NA,NA	0.373,NA,NA,0.0,0.728,NA,NA,NA,NA,0.0,1.0,NA,1.0,NA,NA,NA,0.0,NA,NA,NA	1	MXE
282	ENSG00000125734.14_2	GPR108	chr19	-	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
283	ENSG00000119541.9_2	VPS4B	chr18	-	NA,NA,1.0,0.415,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,1.0	0.0,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0	1	MXE
284	ENSG00000102606.17_2	ARHGEF7	chr13	+	0.0,0.0,0.0,0.0,0.0,0.953,NA,NA,0.398,NA,0.0,0.0,0.248,NA,0.051,0.0,NA,0.0,0.055,0.0,NA,NA,0.0,0.023	0.0,0.0,0.0,0.188,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	1	MXE
285	ENSG00000102606.17_2	ARHGEF7	chr13	+	0.0,0.0,0.408,0.117,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.028,0.943,NA,0.0,0.0,0.0,NA,NA,0.163,0.0	0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,0.688,NA,NA	1	MXE
286	ENSG00000102606.17_2	ARHGEF7	chr13	+	0.38,0.018,1.0,0.39,0.0,1.0,NA,0.065,1.0,0.0,0.0,0.0,0.334,1.0,0.017,NA,0.0,NA,0.054,0.397,NA,0.0,0.066,0.0	0.0,0.717,0.402,0.0,0.216,0.0,0.0,0.0,0.0,0.02,0.0,NA,0.07,0.351,0.0,0.41,0.49,1.0,0.0,NA	1	MXE
287	ENSG00000102606.17_2	ARHGEF7	chr13	+	0.0,0.0,NA,0.0,0.0,NA,NA,0.675,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA	1	MXE
290	ENSG00000091157.13_2	WDR7	chr18	+	0.774,0.533,1.0,0.398,0.039,1.0,NA,0.916,0.009,0.0,0.0,NA,0.851,0.0,0.06,0.035,0.16,NA,0.032,0.0,NA,1.0,0.285,1.0	0.876,0.0,0.98,1.0,1.0,NA,NA,1.0,0.369,0.7,0.174,1.0,1.0,0.384,NA,0.202,NA,NA,0.442,NA	1	MXE
291	ENSG00000119537.15_1	KDSR	chr18	-	0.0,0.0,1.0,1.0,1.0,NA,NA,NA,0.28,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.67,NA,NA,1.0,0.734	NA,NA,NA,0.0,NA,NA,NA,NA,1.0,0.554,1.0,NA,NA,NA,NA,NA,0.163,NA,NA,NA	1	MXE
292	ENSG00000127419.16_2	TMEM175	chr4	+	NA,0.0,0.0,0.0,1.0,0.0,NA,NA,0.0,0.0,1.0,NA,NA,0.0,NA,NA,NA,0.956,0.0,0.0,1.0,NA,0.463,0.0	0.337,0.308,0.0,0.031,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,0.016,NA,0.0,0.0,NA,NA,NA	1	MXE
293	ENSG00000127419.16_2	TMEM175	chr4	+	NA,0.468,0.0,0.627,1.0,0.027,1.0,NA,0.0,0.0,1.0,NA,NA,0.0,NA,NA,NA,0.82,0.0,0.0,NA,NA,0.314,0.43	0.0,0.11,0.0,0.0,0.557,NA,NA,1.0,NA,0.0,NA,NA,0.514,0.0,NA,0.0,0.093,NA,NA,NA	1	MXE
300	ENSG00000118495.18_1	PLAGL1	chr6	-	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
301	ENSG00000118495.18_1	PLAGL1	chr6	-	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
303	ENSG00000169045.13	HNRNPH1	chr5	-	0.501,NA,1.0,1.0,0.966,NA,0.0,0.0,1.0,1.0,0.0,NA,0.474,1.0,0.505,0.0,NA,NA,0.517,1.0,1.0,0.543,0.919,1.0	NA,NA,0.0,1.0,1.0,1.0,1.0,0.33,1.0,1.0,0.0,NA,1.0,0.816,NA,0.829,NA,NA,0.197,NA	1	MXE
304	ENSG00000169045.13	HNRNPH1	chr5	-	0.494,0.0,0.923,0.538,0.586,NA,NA,0.109,0.714,1.0,1.0,1.0,0.527,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA,0.122,1.0	1.0,1.0,1.0,1.0,NA,1.0,NA,1.0,1.0,0.568,0.0,NA,1.0,0.663,NA,0.641,1.0,NA,0.0,NA	1	MXE
305	ENSG00000092108.20_2	SCFD1	chr14	+	NA,NA,0.0,0.0,0.575,NA,NA,0.0,0.056,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0	0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
306	ENSG00000092108.20_2	SCFD1	chr14	+	NA,NA,0.0,0.748,0.0,0.0,NA,1.0,0.714,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,1.0	0.043,NA,NA,0.0,0.331,0.0,0.0,NA,0.256,0.429,1.0,NA,0.874,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
307	ENSG00000126883.16_1	NUP214	chr9	+	NA,NA,NA,NA,NA,1.0,NA,0.0,NA,0.0,1.0,0.0,NA,0.482,NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,1.0,NA,NA,NA,NA,1.0,0.717,NA,0.303,NA,0.0,NA,NA,NA,0.0,NA,1.0,NA	1	MXE
308	ENSG00000126883.16_1	NUP214	chr9	+	NA,NA,NA,1.0,0.565,NA,NA,0.204,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,0.085	1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,0.972,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
312	ENSG00000149557.12_2	FEZ1	chr11	-	0.76,NA,0.0,0.183,0.24,0.335,1.0,1.0,0.111,0.0,0.213,NA,0.628,0.182,0.159,1.0,1.0,NA,0.267,0.574,0.93,0.612,0.52,1.0	0.328,0.048,0.29,0.051,1.0,NA,NA,NA,0.947,0.113,0.134,NA,0.123,0.0,0.0,0.0,0.053,NA,0.0,NA	1	MXE
314	ENSG00000164619.8_1	BMPER	chr7	+	NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,0.0,1.0,1.0,NA,NA,1.0,NA	1.0,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
315	ENSG00000225241.3	RP11-640M9.2	chr1	+	NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	NA,NA,NA,0.636,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
