ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
221	"ENSG00000163964.13_2"	"PIGX"	chr3	+	196444679	196444825	196448047	196448227	196443728	196443792	196449285	196449427	221	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0	296	330	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA	-0.25
222	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901795	71901940	71898040	71898145	71913809	71913926	222	0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,0,0,0,8,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0	0,20,0,5,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0	295	296	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,0.0,NA,0.546,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.491
223	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901814	71901940	71898040	71898145	71913809	71913926	223	0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,0,0,0,8,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0	0,20,0,5,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0	276	296	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,0.0,NA,0.563,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.487
226	"ENSG00000203705.10_2"	"TATDN3"	chr1	+	212970453	212970538	212976042	212976105	212969858	212969932	212977661	212977771	226	23,0,0,0,0,38,0,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1	48,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0	26,0,0,0,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,57,0,4,0,0,0,0,0,0,0	235	213	1	1.0	0.303,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	1.0,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,0.0,NA,0.839,NA,NA,NA,NA,NA,NA,NA	0.147
227	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110925359	110925463	110925463	110925522	110924397	110924652	110928192	110928331	227	0,0,29,5,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0	0,0,0,17,2,55,0,0,38,0,0,0,0,26,81,0,0,0,26,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,37,0,19,0,0,0,67,0,0,0	29,7,0,0,2,0,0,89,5,66,0,0,60,4,0,1,1,0,0,0	254	209	1	1.0	NA,NA,1.0,0.195,0.0,0.46,NA,NA,0.0,1.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,1.0,0.0,NA	0.0,0.0,NA,NA,0.0,NA,NA,0.0,0.0,0.0,1.0,NA,0.207,0.0,NA,0.0,0.982,NA,NA,NA	0.133
228	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110963322	110963398	110966020	110966085	110961339	110961502	110967025	110967126	228	186,0,32,21,35,0,124,0,1,8,0,0,108,0,0,0,0,0,0,0,0,0,0,0	0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	99,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0	0,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	226	215	1	1.0	1.0,NA,1.0,0.8,1.0,NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,1.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA	0.475
231	"ENSG00000141644.17_1"	"MBD1"	chr18	-	47800555	47800723	47801346	47801415	47799933	47800233	47801498	47801615	231	0,0,0,0,15,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0	0,78,0,16,0,0,0,1,0,0,0,0,0,83,88,4,0,0,25,1,0,4,23,0	0,17,74,0,0,0,0,33,0,68,5,0,0,0,0,0,4,0,0,0	5,12,26,39,0,0,0,21,4,19,153,0,16,12,0,20,43,0,2,0	219	318	1	1.0	NA,0.0,NA,0.0,1.0,NA,NA,0.0,NA,1.0,NA,NA,NA,0.208,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,0.0,NA	0.0,0.673,0.805,0.0,NA,NA,NA,0.695,0.0,0.839,0.045,NA,0.0,0.0,NA,0.0,0.119,NA,0.0,NA	-0.06
232	"ENSG00000059691.11_2"	"GATB"	chr4	-	152593913	152594048	152600964	152601043	152591655	152592454	152609781	152609915	232	0,0,2,6,1,0,0,97,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,58,0,0,2,0,0,0,0,0	18,0,0,0,0,0,0,0,33,51,6,0,25,8,0,2,0,0,3,0	0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	229	285	1	1.0	NA,NA,1.0,1.0,1.0,NA,NA,1.0,0.0,NA,1.0,0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,1.0,NA	1.0,0.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA,NA,1.0,NA	-0.289
233	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213244347	213244383	213251037	213251158	213224596	213224851	213277795	213277911	233	0,0,0,0,0,0,0,0,0,12,0,0,0,27,0,0,0,0,0,0,0,0,13,0	0,32,8,33,9,0,0,128,31,38,0,0,0,71,0,0,0,1,1,0,0,141,8,0	0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0	8,19,97,0,5,0,0,0,26,121,57,0,31,99,0,46,0,0,4,0	186	271	1	1.0	NA,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.315,NA,NA,NA,0.357,NA,NA,NA,0.0,0.0,NA,NA,0.0,0.703,NA	0.0,0.0,0.0,NA,0.0,NA,NA,NA,0.502,0.194,0.0,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA	0.051
234	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213349742	213349835	213403839	213403887	213341200	213341316	213405465	213405598	234	0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,32,81,0,7,0	0,0,0,0,0,53,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,10,0,0,0,0,11,173,0,54,108,0,75,0,0,0,0	7,0,0,0,0,0,0,0,16,33,0,0,0,0,0,0,0,0,0,0	243	198	1	1.0	NA,NA,NA,1.0,NA,0.0,NA,1.0,0.0,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,NA	0.83,NA,NA,NA,1.0,NA,NA,NA,0.0,0.214,1.0,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	0.022
235	"ENSG00000162148.10_2"	"PPP1R32"	chr11	+	61253815	61253875	61253995	61254082	61253270	61253383	61254419	61254533	235	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	210	237	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-1.0
236	"ENSG00000189212.12_2"	"DPY19L2P1"	chr7	-	35158272	35158401	35159260	35159332	35157359	35157406	35161118	35161220	236	4,0,2,0,28,0,0,6,31,0,111,0,1,1,9,0,0,0,0,0,0,0,19,0	0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,4,0,0,0,0,0,0,55,0,0,22,12,0,7,12,0,0,0	12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0	222	279	1	1.0	1.0,NA,1.0,NA,1.0,NA,NA,1.0,0.459,NA,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0	0.0,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.754,1.0,NA,1.0,1.0,NA,NA,NA	0.038
237	"ENSG00000189212.12_2"	"DPY19L2P1"	chr7	-	35163609	35163690	35171921	35171981	35161118	35161220	35180644	35180731	237	99,0,0,0,0,0,0,0,30,23,111,0,35,5,0,0,0,0,0,52,18,0,3,0	49,0,10,19,6,0,0,0,33,2,7,0,32,0,26,0,0,0,12,1,0,76,22,35	19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,14,1,2,97,0,0,94,0,53,25,0,0,0	210	231	1	1.0	0.69,NA,0.0,0.0,0.0,NA,NA,NA,0.5,0.927,0.946,NA,0.546,1.0,0.0,NA,NA,NA,0.0,0.983,1.0,0.0,0.13,0.0	1.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.355,0.0,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA	0.251
239	"ENSG00000171735.18_2"	"CAMTA1"	chr1	+	7309550	7309686	7527889	7527961	7151363	7151431	7700459	7700613	239	97,28,49,57,33,38,0,36,70,70,0,0,66,41,22,0,35,1,11,59,1,0,14,0	0,23,0,21,0,0,0,192,67,11,0,12,0,0,4,0,0,0,2,0,0,0,11,8	123,16,0,79,38,45,19,3,0,66,37,0,75,29,0,25,54,0,0,0	110,25,92,0,12,0,0,0,0,22,61,0,75,26,0,16,0,0,0,0	286	222	1	1.0	1.0,0.486,1.0,0.678,1.0,1.0,NA,0.127,0.448,0.832,NA,0.0,1.0,1.0,0.81,NA,1.0,1.0,0.81,1.0,1.0,NA,0.497,0.0	0.465,0.332,0.0,1.0,0.711,1.0,1.0,1.0,NA,0.7,0.32,NA,0.437,0.464,NA,0.548,1.0,NA,NA,NA	0.093
240	"ENSG00000102181.20_2"	"CD99L2"	chrX	-	149984751	149984928	149996778	149998077	149984479	149984551	149999703	149999766	240	53,0,0,41,31,0,8,27,20,4,0,0,25,0,21,84,0,0,5,0,0,0,2,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,9,55,0,3,0,0,14,0,31,0,0,16,0,0,0,0,0,0,0	80,0,0,0,0,18,3,0,0,0,35,0,0,0,0,0,0,0,0,0	1449	327	1	1.0	1.0,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.048,1.0,1.0,NA,1.0,0.0,0.0,1.0,NA,1.0,0.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA	0.395
241	"ENSG00000256349.1_2"	"CTD-3074O7.11"	chr11	+	66278675	66278710	66281876	66282149	66278483	66278560	66283010	66283057	241	0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0	0,1,32,53,12,109,0,66,2,8,67,0,6,279,1,46,0,78,0,77,0,0,14,112	0,19,0,1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0	73,78,12,45,42,0,0,0,65,241,314,0,154,37,0,23,36,0,0,0	185	423	1	1.0	NA,0.0,0.0,0.301,0.0,0.0,NA,0.148,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.244,NA,0.0,1.0,NA,0.0,0.0	0.0,0.358,0.0,0.048,0.0,NA,NA,NA,0.0,0.0,0.0,NA,0.572,0.0,NA,0.0,0.0,NA,NA,NA	0.013
242	"ENSG00000256349.1_2"	"CTD-3074O7.11"	chr11	+	66281876	66282149	66283010	66283057	66278675	66278710	66283163	66283202	242	0,21,16,20,41,105,0,0,24,10,14,0,0,126,2,130,0,8,0,24,0,0,19,39	0,11,0,0,22,60,0,0,0,0,62,0,0,0,0,0,0,0,0,0,63,0,14,2	17,55,0,2,25,0,0,0,2,14,51,0,45,27,0,10,0,0,0,0	88,47,3,0,2,0,0,0,2,0,4,0,68,0,0,1,0,0,0,0	423	197	1	1.0	NA,0.471,1.0,1.0,0.465,0.449,NA,NA,1.0,1.0,0.095,NA,NA,1.0,1.0,1.0,NA,1.0,NA,1.0,0.0,NA,0.387,0.901	0.083,0.353,0.0,1.0,0.853,NA,NA,NA,0.318,1.0,0.856,NA,0.236,1.0,NA,0.823,NA,NA,NA,NA	0.143
243	"ENSG00000114544.16_2"	"SLC41A3"	chr3	-	125752449	125752521	125769785	125769893	125745171	125745322	125786789	125787089	243	29,12,0,14,15,0,0,0,15,17,8,0,11,0,0,0,0,0,0,0,96,0,7,14	0,0,0,23,0,0,0,8,35,1,0,0,0,35,114,0,0,2,44,0,0,2,2,0	41,64,0,4,0,0,0,0,0,25,0,0,0,12,0,4,2,0,0,0	0,7,1,3,0,0,0,0,0,10,162,0,0,0,0,0,0,0,0,0	258	222	1	1.0	1.0,1.0,NA,0.344,1.0,NA,NA,0.0,0.269,0.936,1.0,NA,1.0,0.0,0.0,NA,NA,0.0,0.0,NA,1.0,0.0,0.751,1.0	1.0,0.887,0.0,0.534,NA,NA,NA,NA,NA,0.683,0.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	-0.131
245	"ENSG00000138777.19_2"	"PPA2"	chr4	-	106367539	106367659	106377837	106377902	106359106	106359193	106395050	106395216	245	0,0,0,7,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,0,6,0,0,0,0,0,27,0,0,0,54,0,0,0,0,0,0,17,0,0,4,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,37,149,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0	215	270	1	1.0	0.0,NA,0.0,1.0,NA,1.0,NA,NA,0.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,0.0	0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.3
246	"ENSG00000054282.15_1"	"SDCCAG8"	chr1	+	243471290	243471479	243480056	243480195	243468014	243468079	243493841	243493994	246	55,0,7,0,0,4,0,12,22,24,1,0,20,73,0,29,78,0,0,0,0,0,2,16	53,0,4,29,0,0,0,24,1,0,1,0,29,44,0,37,14,0,0,0,0,0,2,0	0,0,0,42,4,0,0,0,0,124,35,0,0,23,0,13,0,0,7,0	33,0,0,7,6,23,5,6,0,45,74,0,0,181,0,65,2,7,3,0	339	289	1	1.0	0.469,NA,0.599,0.0,NA,1.0,NA,0.299,0.949,1.0,0.46,NA,0.37,0.586,NA,0.401,0.826,NA,NA,NA,NA,NA,0.46,1.0	0.0,NA,NA,0.836,0.362,0.0,0.0,0.0,NA,0.701,0.287,NA,NA,0.098,NA,0.146,0.0,0.0,0.665,NA	0.363
253	"ENSG00000157823.16_2"	"AP3S2"	chr15	-	90420537	90420656	90431752	90431864	90414706	90414778	90432280	90432372	253	276,115,4,42,59,139,0,0,130,3,19,0,181,0,32,0,0,0,14,9,0,1,7,50	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,24,34,0,0,87,45,114,52,0,75,160,1,111,175,0,64,0	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0	262	269	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,NA,1.0,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0	NA,NA,NA,1.0,1.0,NA,NA,0.978,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,0.865,NA,1.0,NA	0.013
255	"ENSG00000132321.16_2"	"IQCA1"	chr2	-	237308055	237308131	237327791	237327914	237300886	237300993	237349682	237349767	255	0,0,39,0,35,0,0,0,0,0,0,0,1,0,24,24,129,0,6,0,0,8,7,41	0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,16,0,0,0	62,144,0,0,17,0,0,0,31,0,0,0,7,2,0,1,12,0,47,0	0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,8,0,0,17,0	273	226	1	1.0	NA,NA,0.536,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,0.952,0.664,NA,1.0,NA,0.0,1.0,1.0,1.0	1.0,1.0,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,0.155,NA,0.094,1.0,NA,0.696,NA	0.137
258	"ENSG00000121741.16_1"	"ZMYM2"	chr13	+	20635192	20635364	20636985	20637111	20633586	20633702	20638590	20638685	258	78,0,71,64,62,261,36,348,216,48,49,60,14,9,120,55,87,103,53,338,111,3,19,144	320,217,0,8,0,11,0,112,82,34,57,0,189,60,18,0,63,14,13,0,105,96,19,73	150,24,150,55,33,0,1,0,61,149,394,0,1,35,4,11,51,1,17,0	75,64,88,7,6,0,0,11,3,72,24,0,0,35,0,27,0,0,47,1	322	276	1	1.0	0.173,0.0,1.0,0.873,1.0,0.953,1.0,0.727,0.693,0.548,0.424,1.0,0.06,0.114,0.851,1.0,0.542,0.863,0.778,1.0,0.475,0.026,0.462,0.628	0.632,0.243,0.594,0.871,0.825,NA,1.0,0.0,0.946,0.639,0.934,NA,1.0,0.462,1.0,0.259,1.0,1.0,0.237,0.0	-0.014
259	"ENSG00000143401.14_2"	"ANP32E"	chr1	-	150201404	150201570	150202905	150203028	150198939	150199127	150204114	150204264	259	0,0,0,9,25,0,0,0,0,0,16,0,1,0,0,0,0,1,0,0,0,70,2,38	63,0,0,12,9,0,0,0,42,0,0,9,55,0,7,0,0,0,4,0,0,0,2,3	4,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,13,9,10,0,20,13,0,9,52,0,0,21,54,0,15,0,0,0,0	273	316	1	1.0	0.0,NA,NA,0.465,0.763,NA,NA,NA,0.0,NA,1.0,0.0,0.021,NA,0.0,NA,NA,1.0,0.0,NA,NA,1.0,0.537,0.936	1.0,0.0,0.0,0.51,NA,0.0,0.0,NA,0.0,0.0,NA,NA,0.099,0.0,NA,0.0,NA,NA,NA,NA	0.294
260	"ENSG00000148634.15_2"	"HERC4"	chr10	-	69695909	69695992	69699344	69699411	69692353	69692537	69700695	69700862	260	0,0,0,0,47,0,0,0,15,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0	43,0,65,6,10,0,0,86,0,0,0,0,34,44,17,19,0,0,8,0,0,0,11,0	0,47,0,0,0,0,0,8,12,0,0,0,0,33,0,19,3,0,0,0	0,44,33,49,11,0,0,13,0,4,0,0,0,22,0,21,0,0,0,0	217	233	1	1.0	0.0,NA,0.0,0.0,0.835,NA,NA,0.0,1.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,NA,NA,0.0,NA	NA,0.534,0.0,0.0,0.0,NA,NA,0.398,1.0,0.0,NA,NA,NA,0.617,NA,0.493,1.0,NA,NA,NA	-0.186
262	"ENSG00000116106.11_2"	"EPHA4"	chr2	-	222347071	222347410	222365736	222365892	222322585	222322710	222428450	222429114	262	426,0,58,49,65,36,0,43,35,0,26,0,261,244,161,44,199,0,76,3,0,111,19,31	258,127,45,367,218,584,305,295,209,29,445,158,175,248,744,108,87,20,204,149,566,14,69,25	125,20,16,38,0,85,29,0,25,96,175,0,124,12,0,4,175,0,47,0	483,67,98,139,50,24,10,84,200,134,119,2,150,75,1,36,126,3,57,0	306	489	1	1.0	0.725,0.0,0.673,0.176,0.323,0.09,0.0,0.189,0.211,0.0,0.085,0.0,0.704,0.611,0.257,0.394,0.785,0.0,0.373,0.031,0.0,0.927,0.306,0.665	0.293,0.323,0.207,0.304,0.0,0.85,0.823,0.0,0.166,0.534,0.701,0.0,0.569,0.204,0.0,0.151,0.689,0.0,0.569,NA	-0.022
264	"ENSG00000112078.13_1"	"KCTD20"	chr6	+	36442565	36442839	36446897	36447000	36437828	36438034	36449338	36449536	264	0,154,0,24,0,45,0,32,0,0,64,0,0,21,8,0,0,0,2,48,0,0,2,11	0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,28,27,1,2,19,8,31,14,25,0,1,2,72,0,28,39,0,4,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	424	253	1	1.0	NA,1.0,NA,1.0,NA,1.0,NA,1.0,0.0,NA,1.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0,NA,NA,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA	-0.083
266	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37710500	37710651	37715719	37715841	37708827	37709176	37721310	37721364	266	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,22,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0	301	272	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	-0.333
267	"ENSG00000062716.11_2"	"VMP1"	chr17	+	57812698	57812834	57814813	57814904	57808781	57808883	57816197	57816308	267	136,6,29,23,26,182,0,3,56,8,105,18,80,24,0,16,0,0,0,0,38,0,2,4	30,29,3,2,39,0,0,47,0,0,0,0,17,6,30,0,0,0,21,171,2,0,3,20	2,51,24,53,0,0,0,0,57,25,200,0,7,0,11,0,1,0,0,0	3,1,0,113,13,0,0,8,16,41,35,0,26,0,0,0,0,0,2,0	286	241	1	1.0	0.793,0.148,0.891,0.906,0.36,1.0,NA,0.051,1.0,1.0,1.0,1.0,0.799,0.771,0.0,1.0,NA,NA,0.0,0.0,0.941,NA,0.36,0.144	0.36,0.977,1.0,0.283,0.0,NA,NA,0.0,0.75,0.339,0.828,NA,0.185,NA,1.0,NA,1.0,NA,0.0,NA	0.091
268	"ENSG00000118454.12_1"	"ANKRD13C"	chr1	-	70736538	70736639	70740402	70740501	70726270	70728530	70742447	70742527	268	0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,45,0,0,0,0,81,0,0,0	0,0,0,1,10,0,0,0,52,8,0,0,0,99,4,0,247,0,10,0,10,149,2,29	6,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0	7,0,0,5,2,0,0,0,83,6,0,0,117,49,0,22,0,0,14,0	249	251	1	1.0	NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.558,1.0,NA,NA,0.0,0.0,1.0,0.0,NA,0.0,NA,0.891,0.0,0.0,0.0	0.464,NA,NA,0.0,0.668,NA,NA,NA,0.0,0.649,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA	0.048
269	"ENSG00000115761.15_1"	"NOL10"	chr2	-	10794606	10794673	10797867	10798017	10784445	10784498	10799297	10799376	269	0,0,0,16,0,0,0,0,41,0,0,0,0,9,25,0,0,0,8,0,44,0,10,52	0,0,0,2,4,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0	67,0,0,61,21,0,0,0,0,0,0,0,3,0,0,0,55,0,0,0	0,12,27,8,0,0,0,0,0,0,0,0,26,0,0,0,21,0,0,0	300	217	1	1.0	NA,NA,NA,0.853,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.582,NA,NA,NA,0.391,NA,1.0,NA,1.0,1.0	1.0,0.0,0.0,0.847,1.0,NA,NA,NA,NA,NA,NA,NA,0.077,NA,NA,NA,0.655,NA,NA,NA	0.247
270	"ENSG00000107669.17_2"	"ATE1"	chr10	-	123658355	123658484	123659380	123659509	123629520	123629553	123661905	123662135	270	79,1,74,14,0,0,0,0,65,0,53,0,45,26,86,0,0,0,40,0,0,0,8,45	0,0,0,20,43,107,0,132,22,0,0,0,0,53,84,11,0,1,36,0,88,94,10,88	5,18,0,27,11,0,0,0,0,6,0,0,8,30,0,23,0,0,0,0	0,0,124,1,0,120,55,0,33,0,22,0,11,0,0,0,56,0,2,0	279	279	1	1.0	1.0,1.0,1.0,0.412,0.0,0.0,NA,0.0,0.747,NA,1.0,NA,1.0,0.329,0.506,0.0,NA,0.0,0.526,NA,0.0,0.0,0.444,0.338	1.0,1.0,0.0,0.964,1.0,0.0,0.0,NA,0.0,1.0,0.0,NA,0.421,1.0,NA,1.0,0.0,NA,0.0,NA	-0.055
271	"ENSG00000107669.17_2"	"ATE1"	chr10	-	123673304	123673408	123681863	123681926	123670420	123670666	123683780	123683844	271	0,4,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2	100,0,0,0,0,0,0,0,0,8,0,0,62,0,4,0,0,0,0,0,0,0,0,36	0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	17,0,0,3,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0	213	254	1	1.0	0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,0.0,1.0,0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,0.062	0.0,NA,NA,0.443,NA,NA,NA,0.0,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.218
